Title,Author
Audio: Alabama Bound,Roger McGuinn
Audio: Twelve Gates to the City,Roger McGuinn
"Beacon Lights of History, Volume 3",John Lord
The Young Mother,William A. Alcott
Rautatie,Juhani Aho
Kauppa-Lopo,Minna Canth
Our Churches and Chapels,Atticus
"Beacon Lights of History, Volume 2",John Lord
"Beacon Lights of History, Volume 1",John Lord
The Vanishing Man,R. Austin Freeman
"Vol. 12, Issue 326, August 9, 1828",Various
The Lost Naval Papers,Bennet Copplestone
The Heart of the Range,William Patterson White
Arthurian Chronicles: Roman de Brut,Wace
"The World's Greatest Books, Vol. 1",Various
Audio: Nine Hundred Miles,Roger McGuinn
Johnny Crow's Garden,L. Leslie Brooke
Aunt Jane's Nieces in Society,Edith Van Dyne
(4th edition),Various
Little Saint Elizabeth and Other Stories,Frances Hodgson Burnett
The Outdoor Girls of Deepdale,Laura Lee Hope
A Child's Anti-Slavery Book,Various
The Little House in the Fairy Wood,Ethel Cook Eliot
"Clarissa, Volume 4 of 9",Samuel Richardson
Journals of Australian Explorations,A C and F T Gregory
When Day is Done,Edgar A. Guest
The Celtic Twilight,W. B. Yeats
Three short works,Gustave Flaubert
The Lonely Dancer and Other Poems,Richard Le Gallienne
"The Atlantic Monthly, Vol. 2, No. 11, September, 1857",Various
A Golden Book of Venice,Mrs. Lawrence Turnbull
Tales for Young and Old,Various
A Practical Physiology,Albert F. Blaisdell
Peter's Mother,Mrs. Henry De La Pasture
"Boswell's Life Of Johnson, Volume 5",James Boswell
"Punch, Vol. 153, Aug. 22, 1917",Various
Burnham Breaker,Homer Greene
The Anti-Slavery Harp,Various
October Vagabonds,Richard Le Gallienne
The Green Flag,Arthur Conan Doyle
American Big Game in Its Haunts,Various
The Peace Negotiations,Robert Lansing
The Rayner-Slade Amalgamation,J. S. Fletcher
La comedie de la mort,Theophile Gautier
The Green Mouse,Robert W. Chambers
Tutt and Mr. Tutt,Arthur Train
From Yauco to Las Marias,Karl Stephen Herrman
Up the Hill and Over,Isabel Ecclestone Mackay
Pulpit and Press,Mary Baker Eddy
Erick and Sally,Johanna Spyri
"The Atlantic Monthly, Vol. 2, No. 12, October, 1858",Various
Wyandotte,James Fenimore Cooper
A Flock of Girls and Boys,Nora Perry
Aunt Jane's Nieces Out West,Edith Van Dyne
Thirty Years a Slave,Louis Hughes
Trips to the Moon,Lucian
Miss Lulu Bett,Zona Gale
Die Aufgeregten,Johann Wolfgang von Goethe
Scientific Essays and Lectures,Charles Kingsley
Die natuerliche Tochter,Johann Wolfgang von Goethe
Torquato Tasso,Johann Wolfgang von Goethe
Audio: Caprice Viennois,George Hamilton Green
Audio: Triplets,George Hamilton Green
Caesar Dies,Talbot Mundy
The Life of Lord Byron,John Galt
The Principles of Success in Literature,George Henry Lewes
The Forest Monster of Oz,Bob Evans & Chris Dulabone
The Money Moon,Jeffery Farnol
"Love, Life & Work",Elbert Hubbard
Audio: Nights of Gladness,National Promenade Band
"Audio: I Love You, California",Elizabeth Spencer
Audio: Fancy Little Nancy,Frank W. Wadsworth on the Saxaphone
Audio: El Choclo Tango,National Promenade Band
Audio: By the Sapphire Sea,Herbert C. Tilley Jr.
The Powers and Maxine,Charles Norris Williamson
The Crisis of the Naval War,John Rushworth Jellicoe
Audio: A Perfect Day,Jaudas' Society Orchestra
Audio: Heart Bowed Down,William Tuson
Audio: Clarinet Squawk,Louisiana Five
Man Size,William MacLeod Raine
Twixt France and Spain,E. Ernest Bilbrough
A Man and His Money,Frederic Stewart Isham
Personal Memoir Of Daniel Drayton,Daniel Drayton
Historie van Mejuffrouw Sara Burgerhart,Wolff en Deken
The Story of Louis Riel: The Rebel Chief,Joseph Edmund Collins
The American Child,Elizabeth McCracken
Affairs of State,Burton E. Stevenson
Andy the Acrobat,Peter T. Harkness
Joy and Power,Henry van Dyke
Stolen Treasure,Howard Pyle
Making the House a Home,Edgar A. Guest
The Wolf's Long Howl,Stanley Waterloo
The Edinburgh Lectures on Mental Science,Thomas Troward
"Northern Trails, Book 1",William J. Long
"Old English Plays, Vol. 1",Various
(A Story of Bacon's Rebellion),John R. Musick
The Slaves In The British Colonies,Thomas Clarkson
"Histoire de la Revolution Francaise, Vol. 3",Adolphe Thiers
Le Pays de l'or,Henri Conscience
Memoir of Wm Watts McNair,J. E. Howard
The History of a Crime,Victor Hugo
Bible Stories and Religious Classics,Philip P. Wells
At Love's Cost,Charles Garvice
Autobiography,John Stuart Mill
The Evil Guest,J. Sheridan Le Fanu
American Indian stories,Zitkala-Sa
England's Antiphon,George MacDonald
The Ramblin' Kid,Earl Wayland Bowman
The Middle Temple Murder,J.S. Fletcher
Bunch Grass,Horace Annesley Vachell
The Cinema Murder,E. Phillips Oppenheim
Sustained honor,John R. Musick
The Vizier of the Two-Horned Alexander,Frank R. Stockton
Poems,Sir John Carr
Freedom's Battle,Mahatma Gandhi
Precaution,James Fenimore Cooper
Yeast: A Problem,Charles Kingsley
The Bravo,J. Fenimore Cooper
Sketches of the East Africa Campaign,Robert Valentine Dolbey
The Creative Process in the Individual,Thomas Troward
Kitty's Class Day And Other Stories,Louisa M. Alcott
Aunt Jane's Nieces at Millville,Edith Van Dyne
The Boss of Little Arcady,Harry Leon Wilson
"Life Of Johnson, Volume 4 of 6",Boswell
"Travels in Morocco, Volume 2",James Richardson
"Travels in Morocco, Volume 1",James Richardson
Die Laune des Verliebten,J.W. Goethe
Satyros oder Der Vergoetterte Waldteufel,Johann Wolfgang von Goethe
"The Works of Samuel Johnson, Volume 11",Samuel Johnson
"The Works of Samuel Johnson, Volume 10",Samuel Johnson
"The Works of Samuel Johnson, Volume 6",Samuel Johnson
Naar het middelpunt der Aarde,Jules Gabriel Verne
Audio: Go to Sea Once More,Roger McGuinn
Free from School,Rahul Alvares
C'Etait ainsi...,Cyriel Buysse
Domestic Manners of the Americans,Fanny Trollope
Autumn Anthem,Joel A. Erickson (Musical score)
"The Works of Charles and Mary Lamb, Vol. 2: Elia",Charles Lamb
The Velvet Glove,Henry Seton Merriman
"Great Events by Famous Historians, Volume 21",Various
Dab Kinzer,William O. Stoddard
An Antarctic Mystery,Jules Verne
With the Turks in Palestine,Alexander Aaronsohn
Lady Into Fox,David Garnett
"A Select Collection of Old English Plays, Vol. 7 (4th edn.)",Various
Children's Rights,Kate Douglas Wiggin and Nora A. Smith
Van 't viooltje dat weten wilde,Maria Catherina Metz-Koning
The European Anarchy,G. Lowes Dickinson
"The Mirror of Literature, Amusement, and Instruction",Various
"The Mirror of Literature, Amusement, and Instruction",Various
Fruitfulness,Emile Zola
Snubby Nose and Tippy Toes,Laura Rountree Smith
Poems,Walter R. Cassels
Alias The Lone Wolf,Louis Joseph Vance
David,Charles Kingsley
The Gospel of the Pentateuch,Charles Kingsley
Bull Hunter,Max Brand
The Rover Boys at College,Edward Stratemeyer
Miss Prudence,Jennie Maria (Drinkwater) Conklin
Dragon's blood,Henry Milner Rideout
Dotty Dimple at Play,Sophie May
Dave Darrin's Third Year at Annapolis,H. Irving Hancock
Damon and Delia,William Godwin
Betty Gordon at Boarding School,Alice Emerson
Roy Blakeley's Adventures in Camp,Percy Keese Fitzhugh
"The Rubaiyat, The Divan, and The Gulistan",Various
Sonnets,Michael Angelo Buonarroti & Tommaso Campanella
Audio: The Fifth Regiment March,Issler's Orchestra
Audio: The Pattison Waltz,Effie Stewart (vocal)
Audio: Around the World on the Phonograph,Thomas A. Edison
Audio: After Dinner Toast at Little Menlo,Arthur Sullivan
Audio: The Lost Chord,Arthur Sullivan (Composer)
Audio: Handel Festival,August Manns (conductor)
Audio: At the Moving Picture Ball,Maurice Burkhart
Audio: Moonlight Bay,The Premier Quartet
Audio: Alexander's Ragtime Band,Billy Murray
Audio: Some of These Days,Sophie Tucker
Audio: Jere Sanford's Yodeling and Whistling Specialty,Jere Sanford
Audio: Just Because She Made Dem Goo-Goo Eyes,John Dobbs
"Audio: Snyder, Does Your Mother Know You're Out?",George P. Watson
Audio: Poet and Peasant Overture,Eddie Peabody (banjo)
Audio: Saxema,Rudy Wiedoeft
"Audio: Swing Low, Sweet Chariot",Fisk University Jubilee Quartette
Audio: The Band of Gideon,Fisk University Jubilee Quartette
Verse and Prose for Beginners in Reading,Various
el ano de 1780,Anonymous
"Punchinello, Vol. 2, No. 36, December 3, 1870",Various
In The Fourth Year,H.G. Wells
Confession de Minuit,Georges Duhamel
Le Chat du Neptune,Ernest D'Hervilly
Audio: Ragtime Echoes,Samuel Siegel (mandolin)
Audio: New York Blues,Pietro Frosini (accordion)
Audio: Arbucklenian Polka,Bohumir Kryl (coronet)
Audio: Ma Rag Time Baby,Peerless Orchestra
Audio: Spring of Love,Jaudas (violin)
Audio: Dinah Polka,Charles P. Lowe (xylophone)
Audio: Polish National Dance,Charles D'Almaine (violin)
Audio: Antony's Address Over the Body of Caesar,Harry E. Humphrey
Audio: Uncle Tom's Cabin,Len Spencer
Audio: Sei Forse L'Angelo Fedele,Claudia Muzio (soprano)
Audio: Hallelujah Chorus,Oratorio Chorus
Audio: Gloria,Gregorian Choir
Audio: La Gioconda,Paola Koraleck
Sermons on Evil-Speaking,Isaac Barrow
Audio: Ah! Fors' e Lui,Lucrezia Bori (soprano)
Audio: Sono Un Poeta,Florencio Constantino (tenor)
Audio: Hochstes Vertrauen,Heinrich Knote (tenor)
Audio: What Band Is This?,Hann's Emperors of Song
Audio: Pharoah's Army Got Drowned,"""Colored Quartet"" (name unknown)"
Patty at Home,Carolyn Wells
The Outdoor Chums,Captain Quincy Allen
The Glands Regulating Personality,"Louis Berman, M.D"
Audio: Anssin Jukka Ja Harman Haat,Otto Pyykkonen
Audio: Skamba Kankliah ir Trimintia,Jouzas Suildauskas (baritonas)
Audio: Envoyons d'l'avant nos gens!,Charles Marchand (basse)
Audio: Que Partes El Alma,Juan de la Cruz (tenor)
Audio: La Bella Cubano,El Trio Cubano
Audio: Narodowe Melodye,Aleksander Iwanowski (Harmonika)
Audio: Smes Esko - Slovackych Pisni,Milan Lusk (houslove solo)
Audio: Nataligino Kolo,Jugoslavensko Tamburasko Drustvo
Audio: Mazel Tov,I. J. Hochman's Yiddisher Orchester
"Audio: O, Tannenbaum",Nebe Quartett
Audio: La Paloma,Banda de Zapadores de Mexico
Audio: The Birth of the Telephone,Thomas A. Watson
Audio: Andrew Carnegie,Andrew Carnegie
Audio: The Old Violin,Daniel Higham (Director)
Town Geology,Charles Kingsley
Audio: The Five Bachelors,Ramsay (Director)
Audio: The St. Louis Blues,Frank Ferera
Audio: Dixieland,Lopez and Hamilton's Kings of Harmony
Audio: Sensation Jazz,The All Star Trio
Audio: Jazz de Luxe,Earl Fuller's Famous Jazz Band
"Audio: Johnson ""jass"" Blues","Friscoe ""Jass"" Band"
Audio: Plaque No. 6,Losey's Orchestra
Audio: Plaque No. 2,Losey's Orchestra
Audio: Plaque No. 1,Losey's Orchestra
Audio: 2nd Record,Losey's Orchestra
Audio: Ediphone School Record No. 2,Thomas A. Edison
"Audio: Siegel-Myers School of Music, Vocal Record F",Thomas A. Edison 10237
Audio: Discussion on Edison's Monoid Theory,Theodore M. Edison
Old Creole Days,George Washington Cable
Audio: Remarks from a Visit to Edison Laboratory,Josephus Daniels
Audio: My South Polar Expedition,Lt. Ernest H. Shackleton
Audio: El Presidente Diaz al Senor Edison,Porfirio Diaz
Audio: Tolstoy's Plower Story,John Wanamaker
Beautiful Joe,Marshall Saunders
Their Crimes,Various
"Kalitan, Our Little Alaskan Cousin",Mary F. Nixon-Roulet
The Pilgrims of New England,Mrs. J. B. Webb
Purple Springs,Nellie L. McClung
Daddy Takes Us Skating,Howard R. Garis
Stauder,G.N. Brandt
The Land Of Little Rain,Mary Hunter Austin
Poems,Marietta Holley
Manfredo Palavicino,Giuseppe Rovani
Introduction to the Philosophy and Writings of Plato,Thomas Taylor
The Everlasting Whisper,Jackson Gregory
Peck's Bad Boy at the Circus,George W. Peck
At Whispering Pine Lodge,Lawrence J. Leslie
Wolves of the Sea,Randall Parrish
Audio: Electricity and Progress,Thomas A. Edison
Audio: The Rights of Labor,William H. Taft
Audio: The Railroad Question,William Jennings Bryan
Audio: The Liver Complaint Story,Thomas A. Edison
Audio: Words of Welcome,Garrett A. Hobart
Audio: Charge of the Light Brigade,Trumpeter Landfrey
Audio: Big Ben Clock Tower of Westminster,Miss. Ferguson
"Maria Mitchell: Life, Letters, and Journals",Maria Mitchell
The Desert of Wheat,Zane Grey
Audio: Down in a Georgia Jail,Posey Rorer
Audio: Barbara Allen,Frank Luther
Audio: He Was Nailed to the Cross for Me,Earnest V. Stoneman
Audio: Cluck Old Hen,Fiddlin' Powers and Family
Audio: Lonesome Road Blues,The Blue Ridge Duo
Audio: Opera Reel with Calls,Jasper Bisbee (Fiddle)
Audio: Interruptions,Tom Woottwell
Audio: Fourth of July at Punkin Center,Cal Stewart
Audio: A Bunch of Nonsense,Murray K. Hill
Audio: Three Rubes Seeing New York,Edison Vaudeville Company
Audio: Two Rubes at the Vaudeville,Byron G. Harlan
Audio: Reuben Haskin's ride on the Cyclone Auto,Len Spencer
Audio: Schultz at the Paris Exposition,Frank Kennedy
Audio: Minstrel Potpourri,Edison Minstrels
"Audio: Quartet in G, 1st Movement, Pt. 1",Roth String Quartet
"Audio: Trio No. 1 in B Flat, Pt. 1",The New York Trio
Audio: Clair de Lune,Hotel Commodore Ensemble
"Audio: Slavonic Dance, No. 1",Carl Flesch (Violin)
Audio: Moonlight Sonata,Bellini Ensemble Unique
Audio: Ride of the Valkyries,American Symphony Orchestra
Audio: The Debutante,Edna White (Trumpet)
"Audio: Prelude in C Sharp Minor, Op. 3",Sergie Rachmaninoff
"Audio: William Tell Overture, Pt. 2",Sodero's Band
"Audio: Hungarian Rhapsody No. 2, Part 1",Edison Concert Band
Audio: Santa Lucia,His Majesty's Irish Guards Band
Audio: Stars and Stripes Forever,Sousa's Band
Audio: Semper Fidelis March,United States Marine Band
Audio: Kaiser Frederick March,British Military Band
Audio: Mr. Thomas Cat,Edison Grand Concert Band
What Germany Thinks,Thomas F. A. Smith
Across the Zodiac,Percy Greg
The Black Creek Stopping-House,Nellie McClung
Mohammedanism,C. Snouck Hurgronje
"Dio's Rome, Vol. 3",Cassius Dio
English Poets of the Eighteenth Century,Various
Pierre Noziere,Anatole France
England and the War,Walter Raleigh
Audio: Daybreak at Calamity Farm,Gilbert Girard
"Audio: Which Switch is the Switch, Miss, for Ipswich?",Billy Murray
Audio: M'appari - Martha,Allesandro Bonci
Audio: The Right of the People to Rule,Theodore Roosevelt
Audio: Voice Trial: Kinetophone Actor Audition,Siegfried Von Schultz 10154
Audio: Voice Trial - Kinetophone Actor Audition,Frank Lenord
Audio: Voice Trial - Kinetophone actor audition,Bob Lett
"The Great Events by Famous Historians, Volume 5",Various
Dracula's Guest,Bram Stoker
Home as Found,James Fenimore Cooper
The Merry Adventures of Robin Hood,Howard Pyle
America's War for Humanity,Thomas Herbert Russell
Reminiscences of Pioneer Days in St. Paul,Frank Moore
Turkey: A Past and a Future,Arnold Joseph Toynbee
"Punchinello, Vol. 2, No. 35, November 26, 1870",Various
Maezli,Johanna Spyri
Crommelin Verplanck,William Cullen Bryant
Rhetoric and Poetry in the Renaissance,Donald Lemen Clark
The Faith of the Millions (2nd series),George Tyrrell
"The Atlantic Monthly, Vol. 1, No. 2, December, 1857",Various
Audio: Mary Had a Little Lamb,Thomas A. Edison
The Book of Household Management,Mrs. Isabella Beeton
"The Great English Short-Story Writers, Vol. 1",Various
"John Wesley, Jr.",Dan B. Brummitt
The Vigil of Venus and Other Poems,"""Q"""
The Sowers,Henry Seton Merriman
Required Poems for Reading and Memorizing,Anonymous
Excellent Women,Various
"Great Events by Famous Historians, Vol. 17",Charles Francis Horne
Abducted to Oz,Bob Evans and Chris Dulabone
Aunt Jane's Nieces and Uncle John,Edith Van Dyne
Aunt Jane's Nieces,Edith Van Dyne
Fairies and Fusiliers,Robert Graves
Oriental Literature,Anonymous
England of My Heart - Spring,Edward Hutton
Adonais,Shelley
The Folk-lore of Plants,T. F. Thiselton-Dyer
Den siste atenaren,Viktor Rydberg
All Saints' Day and Other Sermons,Charles Kingsley
"The Great Events by Famous Historians, Vol. 2",Various
De mannen van '80 aan het woord,E. D'Oliveira
Of Universal History,John Fisk
Boys and Girls from Thackeray,Kate Dickinson Sweetser
The Postmaster's Daughter,Louis Tracy
The Unspeakable Gentleman,John P. Marquand
A Treatise Of Daunses,Anonymous
With British Guns in Italy,Hugh Dalton
"Punchinello, Vol. 2, No. 34, November 19, 1870",Various
"Punchinello, Vol. 2, No. 33, November 12, 1870",Various
"Punchinello, Vol. 2, No. 32, November 5, 1870",Various
"The Great Events by Famous Historians, Vol. 8",Various
The Czar's Spy,William Le Queux
A Little Boy Lost,W. H. Hudson
Byron,John Nichol
Towards The Goal,Mrs. Humphry Ward
How Jerusalem Was Won,W. T. Massey
The Trojan Women,Euripides
"The Twilight of the Gods, and Other Tales",Richard Garnett
A Soldier of Virginia,Burton Egbert Stevenson
The History of Gutta-Percha Willie,George MacDonald
"Punchinello, Vol. 2, No. 30, October 22, 1870",Various
"Punchinello, Vol. 2, No. 31, October 29, 1870",Various
Peaceless Europe,Francesco Saverio Nitti
Elves and Heroes,Donald A. MacKenzie
Thaumaturgia,An Oxonian
Old Lady Number 31,Louise Forsslund
The Minute Boys of the Mohawk Valley,James Otis
Moorish Literature,Anonymous
Kazan,James Oliver Curwood
The House of the Whispering Pines,Anna Katharine Green
The Hampstead Mystery,John R. Watson and Arthur J. Rees
The Boy Allies at Jutland,Robert L. Drake
Mobilizing Woman-Power,Harriot Stanton Blatch
"The Atlantic Monthly, Vol. 2, No. 9, July, 1858",Various
Plain Words From America,Douglas W. Johnson
"The Atlantic Monthly, Vol. 10, No. 60, October 1862",Various
Lister's Great Adventure,Harold Bindloss
"States of America, Related by Himself",Venture Smith
"Vol. 10, Issue 269, August 18, 1827",Various
The Century Vocabulary Builder,Garland Greever
English Housewifery Exemplified,Elizabeth Moxon
By-Ways of Bombay,"S. M. Edwardes, C.V.O"
Stories of Great Americans for Little Americans,Edward Eggleston
Account of the Romansh Language,"Joseph Planta, Esq. F. R. S"
The Power and the Glory,Grace MacGowan Cooke
The Mystery Of The Boule Cabinet,Burton Egbert Stevenson
Gunman's Reckoning,Max Brand
